"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Feb.20, 2024"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/ITEMS Code","A4200","","A420001","","A420002","","A4270","","A427001","","A5301",""
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A4200_Number of deaths[person]","Annotation","A420001_Number of deaths (Male)[person]","Annotation","A420002_Number of deaths (Female)[person]","Annotation","A4270_Number of stillbirths[fetu]","Annotation","A427001_Number of natural stillbirths[fetu]","Annotation","A5301_Rates of net migration[permill]","Annotation"
"1991100000","1991","47000","Okinawa-ken","","6,263","","3,260","","3,003","","617","","412","","***",""
"1990100000","1990","00000","All Japan","","820,305","","443,718","","376,587","","53,892","","23,383","","***",""
"1990100000","1990","47000","Okinawa-ken","","6,469","","3,408","","3,061","","576","","376","","***",""
"1989100000","1989","00000","All Japan","","788,594","","427,114","","361,480","","55,204","","24,558","","***",""
"1989100000","1989","47000","Okinawa-ken","","5,818","","3,163","","2,655","","672","","435","","***",""
"1988100000","1988","00000","All Japan","","793,014","","428,094","","364,920","","59,636","","26,804","","***",""
"1988100000","1988","47000","Okinawa-ken","","5,772","","2,992","","2,780","","649","","458","","***",""
"1987100000","1987","00000","All Japan","","751,172","","408,094","","343,078","","63,834","","29,956","","***",""
"1987100000","1987","47000","Okinawa-ken","","5,580","","2,879","","2,701","","636","","433","","***",""
"1986100000","1986","00000","All Japan","","750,620","","406,918","","343,702","","65,678","","31,050","","***",""
"1986100000","1986","47000","Okinawa-ken","","5,635","","2,943","","2,692","","627","","450","","***",""
"1985100000","1985","00000","All Japan","","752,283","","407,769","","344,514","","69,009","","33,114","","***",""
"1985100000","1985","47000","Okinawa-ken","","5,283","","2,792","","2,491","","629","","474","","***",""
"1984100000","1984","00000","All Japan","","740,247","","402,220","","338,027","","72,361","","37,976","","***",""
"1984100000","1984","47000","Okinawa-ken","","5,349","","2,751","","2,598","","657","","531","","***",""
"1983100000","1983","00000","All Japan","","740,038","","401,232","","338,806","","71,941","","40,108","","***",""
"1983100000","1983","47000","Okinawa-ken","","5,541","","2,833","","2,708","","589","","510","","***",""
"1982100000","1982","00000","All Japan","","711,883","","385,494","","326,389","","78,107","","44,135","","***",""
"1982100000","1982","47000","Okinawa-ken","","5,247","","2,745","","2,502","","595","","500","","***",""
"1981100000","1981","00000","All Japan","","720,262","","388,575","","331,687","","79,222","","46,296","","***",""
"1981100000","1981","47000","Okinawa-ken","","5,330","","2,771","","2,559","","604","","546","","***",""
"1980100000","1980","00000","All Japan","","722,801","","390,644","","332,157","","77,446","","47,651","","***",""
"1980100000","1980","47000","Okinawa-ken","","5,348","","2,758","","2,590","","540","","479","","***",""
"1979100000","1979","00000","All Japan","","689,664","","373,183","","316,481","","82,311","","51,083","","***",""
"1979100000","1979","47000","Okinawa-ken","","5,066","","2,611","","2,455","","524","","483","","***",""
"1978100000","1978","00000","All Japan","","695,821","","375,625","","320,196","","87,463","","55,818","","***",""
"1978100000","1978","47000","Okinawa-ken","","5,153","","2,647","","2,506","","596","","556","","***",""
"1977100000","1977","00000","All Japan","","690,074","","372,175","","317,899","","95,247","","60,330","","***",""
"1977100000","1977","47000","Okinawa-ken","","5,276","","2,686","","2,590","","585","","523","","***",""
"1976100000","1976","00000","All Japan","","703,270","","378,630","","324,640","","101,930","","64,046","","***",""
"1976100000","1976","47000","Okinawa-ken","","5,336","","2,784","","2,552","","544","","492","","***",""
"1975100000","1975","00000","All Japan","","702,275","","377,827","","324,448","","101,862","","67,643","","***",""
"1975100000","1975","47000","Okinawa-ken","","5,667","","2,897","","2,770","","550","","516","","***",""
