"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Feb.20, 2024"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/ITEMS Code","A4101","","A410101","","A410102","","A4103",""
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A4101_Number of live births[person]","Annotation","A410101_Number of live births (Male)[person]","Annotation","A410102_Number of live births (Female)[person]","Annotation","A4103_Total fertility rate[-]","Annotation"
"2020100000","2020","15000","Niigata-ken","","12,981","","6,616","","6,365","","1.33",""
"2020100000","2020","16000","Toyama-ken","","6,256","","3,236","","3,020","","1.44",""
"2020100000","2020","17000","Ishikawa-ken","","7,712","","3,973","","3,739","","1.47",""
"2020100000","2020","18000","Fukui-ken","","5,313","","2,678","","2,635","","1.56",""
"2020100000","2020","19000","Yamanashi-ken","","5,184","","2,652","","2,532","","1.48",""
"2020100000","2020","20000","Nagano-ken","","12,864","","6,560","","6,304","","1.46",""
"2020100000","2020","21000","Gifu-ken","","12,092","","6,204","","5,888","","1.42",""
"2020100000","2020","22000","Shizuoka-ken","","22,497","","11,509","","10,988","","1.39",""
"2020100000","2020","23000","Aichi-ken","","55,613","","28,610","","27,003","","1.44",""
"2020100000","2020","24000","Mie-ken","","11,141","","5,809","","5,332","","1.42",""
"2020100000","2020","25000","Shiga-ken","","10,437","","5,363","","5,074","","1.50",""
"2020100000","2020","26000","Kyoto-fu","","16,440","","8,363","","8,077","","1.26",""
"2020100000","2020","27000","Osaka-fu","","61,878","","31,745","","30,133","","1.31",""
"2020100000","2020","28000","Hyogo-ken","","36,953","","18,808","","18,145","","1.39",""
"2020100000","2020","29000","Nara-ken","","7,831","","4,021","","3,810","","1.28",""
"2020100000","2020","30000","Wakayama-ken","","5,732","","2,933","","2,799","","1.43",""
"2020100000","2020","31000","Tottori-ken","","3,783","","1,949","","1,834","","1.52",""
"2020100000","2020","32000","Shimane-ken","","4,473","","2,290","","2,183","","1.60",""
"2020100000","2020","33000","Okayama-ken","","13,521","","6,917","","6,604","","1.48",""
"2020100000","2020","34000","Hiroshima-ken","","19,606","","10,104","","9,502","","1.48",""
"2020100000","2020","35000","Yamaguchi-ken","","8,203","","4,184","","4,019","","1.48",""
"2020100000","2020","36000","Tokushima-ken","","4,521","","2,337","","2,184","","1.48",""
"2020100000","2020","37000","Kagawa-ken","","6,179","","3,105","","3,074","","1.47",""
"2020100000","2020","38000","Ehime-ken","","8,102","","4,265","","3,837","","1.40",""
"2020100000","2020","39000","Kochi-ken","","4,082","","2,044","","2,038","","1.43",""
"2020100000","2020","40000","Fukuoka-ken","","38,966","","19,782","","19,184","","1.41",""
"2020100000","2020","41000","Saga-ken","","6,004","","3,091","","2,913","","1.59",""
"2020100000","2020","42000","Nagasaki-ken","","9,182","","4,715","","4,467","","1.61",""
"2020100000","2020","43000","Kumamoto-ken","","13,011","","6,662","","6,349","","1.60",""
"2020100000","2020","44000","Oita-ken","","7,582","","3,858","","3,724","","1.55",""
"2020100000","2020","45000","Miyazaki-ken","","7,720","","3,923","","3,797","","1.65",""
"2020100000","2020","46000","Kagoshima-ken","","11,638","","5,974","","5,664","","1.61",""
"2020100000","2020","47000","Okinawa-ken","","14,943","","7,637","","7,306","","1.83",""
"2019100000","2019","00000","All Japan","","865,239","","443,430","","421,809","","1.36",""
"2019100000","2019","01000","Hokkaido","","31,020","","15,988","","15,032","","1.24",""
"2019100000","2019","02000","Aomori-ken","","7,170","","3,682","","3,488","","1.38",""
"2019100000","2019","03000","Iwate-ken","","6,974","","3,582","","3,392","","1.35",""
"2019100000","2019","04000","Miyagi-ken","","14,947","","7,745","","7,202","","1.23",""
"2019100000","2019","05000","Akita-ken","","4,696","","2,403","","2,293","","1.33",""
"2019100000","2019","06000","Yamagata-ken","","6,401","","3,284","","3,117","","1.40",""
"2019100000","2019","07000","Fukushima-ken","","11,552","","5,793","","5,759","","1.47",""
"2019100000","2019","08000","Ibaraki-ken","","18,004","","9,239","","8,765","","1.39",""
"2019100000","2019","09000","Tochigi-ken","","12,608","","6,535","","6,073","","1.39",""
"2019100000","2019","10000","Gumma-ken","","11,901","","6,048","","5,853","","1.40",""
"2019100000","2019","11000","Saitama-ken","","48,298","","24,799","","23,499","","1.27",""
"2019100000","2019","12000","Chiba-ken","","40,799","","20,844","","19,955","","1.28",""
"2019100000","2019","13000","Tokyo-to","","101,818","","52,032","","49,786","","1.15",""
