YEAR Code,YEAR,AREA Code,AREA,A1101_Total population (Both sexes)[person],A110101_Total population (Male)[person],A110102_Total population (Female)[person],A1304_Ratio of population (under15 years old)[%],A1305_Ratio of population (15-64 years old)[%],A1306_Ratio of population (65 years old and over)[%],A4200_Number of deaths[person],A420001_Number of deaths (Male)[person],A420002_Number of deaths (Female)[person]
2018100000,2018,26000,Kyoto-fu,"2,598,000","1,241,000","1,356,000",11.7,59.4,28.9,"26,654","13,516","13,138"
2018100000,2018,27000,Osaka-fu,"8,838,000","4,245,000","4,594,000",12,60.6,27.5,"89,494","47,684","41,810"
2018100000,2018,34000,Hiroshima-ken,"2,824,000","1,369,000","1,455,000",12.9,58.1,29,"31,346","15,816","15,530"
2018100000,2018,47000,Okinawa-ken,"1,454,000","715,000","739,000",17,61.4,21.6,"12,157","6,311","5,846"
2017100000,2017,0,All Japan,"126,919,000","61,753,000","65,165,000",12.3,60,27.7,"1,340,567","690,770","649,797"
2017100000,2017,1000,Hokkaido,"5,325,000","2,510,000","2,815,000",11.1,58.3,30.7,"62,451","32,012","30,439"
2017100000,2017,12000,Chiba-ken,"6,258,000","3,111,000","3,147,000",12.1,60.8,27.1,"59,013","31,981","27,032"
2017100000,2017,13000,Tokyo-to,"13,768,000","6,782,000","6,985,000",11.2,65.7,23,"116,453","61,473","54,980"
2017100000,2017,26000,Kyoto-fu,"2,604,000","1,245,000","1,359,000",11.9,59.6,28.6,"26,431","13,288","13,143"
2017100000,2017,27000,Osaka-fu,"8,841,000","4,249,000","4,591,000",12.1,60.7,27.2,"87,086","46,439","40,647"
2017100000,2017,34000,Hiroshima-ken,"2,833,000","1,373,000","1,460,000",13,58.4,28.6,"30,795","15,450","15,345"
2017100000,2017,47000,Okinawa-ken,"1,448,000","712,000","736,000",17.1,61.9,21,"11,945","6,415","5,530"
2016100000,2016,0,All Japan,"127,042,000","61,816,000","65,226,000",12.4,60.3,27.3,"1,308,158","674,946","633,212"
2016100000,2016,1000,Hokkaido,"5,355,000","2,523,000","2,831,000",11.2,58.9,29.9,"61,920","32,079","29,841"
2016100000,2016,12000,Chiba-ken,"6,242,000","3,104,000","3,138,000",12.2,61.2,26.5,"56,398","30,737","25,661"
